nc101_code	D2_01	D2_02
NC101_01283	6	5
NC101_01284	6	1
NC101_01285	11	4
NC101_01286	6	4
NC101_01287	28	13
NC101_01288	17	13
NC101_01289	35	10
NC101_01290	33	10
NC101_01291	209	48
NC101_01292	11	6
NC101_01293	3	4
NC101_01294	103	20
NC101_01295	414	142
NC101_01296	60	37
NC101_01297	42	12
NC101_01298	1	2
NC101_01299	46	10
NC101_01300	24	2
NC101_01301	46	12
NC101_01302	44	31
NC101_01303	0	0
NC101_01304	0	0
NC101_01305	5	4
NC101_01306	8	1
NC101_01307	7	0
NC101_01308	19	0
NC101_01309	42	22
NC101_01310	65	17
NC101_01311	2705	837
NC101_01312	214	76
NC101_01313	1290	396
NC101_01314	15	9
NC101_01315	8	2
NC101_01316	12	2
NC101_01317	5	2
NC101_01318	13	6
NC101_01319	30	18
NC101_01320	43	19
NC101_01321	178	74
NC101_01322	25	0
NC101_01323	2	0
NC101_01324	2	0
NC101_01325	2	4
NC101_01326	4	0
NC101_01327	0	0
NC101_01328	0	0
NC101_01329	4	2
NC101_01330	23	7
NC101_01331	0	1
NC101_01332	1	2
NC101_01333	33	6
NC101_01334	0	0
NC101_01335	2	0
NC101_01336	11	5
NC101_01337	7	3
NC101_01338	23	2
NC101_01339	4	3
NC101_01340	62	32
NC101_01341	12	2
NC101_01342	31	12
NC101_01343	82	30
NC101_01344	51	20
NC101_01345	40	10
NC101_01346	16	3
NC101_01347	2	2
NC101_01348	2	1
NC101_01349	16	4
NC101_01350	10	6
NC101_01351	6	4
NC101_01352	17	12
NC101_01353	48	11
NC101_01354	13	2
NC101_01355	32	10
NC101_01356	40	4
NC101_01357	9	16
NC101_01359	105	34
NC101_01360	20	5
NC101_01361	10	0
NC101_01362	26	14
NC101_01363	93	19
NC101_01364	10	0
NC101_01365	2	0
NC101_01366	15	6
NC101_01367	31	7
NC101_01368	1	0
NC101_01369	7	0
NC101_01370	4	5
NC101_01371	9	0
NC101_01372	3	2
NC101_01373	9	0
NC101_01374	18	2
NC101_01375	2	1
NC101_01376	2	2
NC101_01377	472	45
NC101_01378	36	5
NC101_01379	17	0
NC101_01380	3	0
NC101_01381	12	0
NC101_01382	569	330
NC101_01383	9	7
NC101_01384	13	4
NC101_01385	41	5
NC101_01386	37	5
NC101_01387	3	1
NC101_01388	85	20
NC101_01389	9	5
NC101_01390	176	19
NC101_01391	19	6
NC101_01392	25	5
NC101_01393	190	48
NC101_01394	97	20
NC101_01395	2	1
NC101_01396	19	15
NC101_01397	60	33
NC101_01398	64	24
NC101_01399	63	13
NC101_01400	396	77
NC101_01401	15	8
NC101_01402	31	8
NC101_01403	14	2
NC101_01404	11	6
NC101_01405	5	2
NC101_01406	180	63
NC101_01407	14	5
NC101_01408	47	33
NC101_01409	20	18
NC101_01410	45	12
NC101_01411	38	14
NC101_01412	106	28
NC101_01413	691	89
NC101_01414	20	11
NC101_01415	92	35
NC101_01416	56	16
NC101_01417	38	32
NC101_01418	14	0
NC101_01419	10	6
NC101_01420	9	0
NC101_01421	83	43
NC101_01422	37	13
NC101_01423	167	46
NC101_01424	402	81
NC101_01425	301	110
NC101_01426	136	32
NC101_01427	48	22
NC101_01428	28	20
NC101_01429	80	31
NC101_01430	9	8
NC101_01431	10	4
NC101_01432	117	31
NC101_01433	43	12
NC101_01434	49	12
NC101_01435	8	0
NC101_01436	72	12
NC101_01437	32	15
NC101_01438	109	28
NC101_01439	774	127
NC101_01440	86	29
NC101_01441	35	11
NC101_01442	51	35
NC101_01443	46	8
NC101_01444	205	85
NC101_01445	1712	407
NC101_01446	585	117
NC101_01447	1455	466
NC101_01448	360	127
NC101_01449	267	66
NC101_01450	24	7
NC101_01451	23	4
NC101_01452	79	47
NC101_01453	132	78
NC101_01454	50	16
NC101_01455	50	15
NC101_01456	101	50
NC101_01457	28	19
NC101_01458	103	35
NC101_01459	97	41
NC101_01460	34	2
NC101_01461	41	19
NC101_01462	19	6
NC101_01463	42	16
NC101_01464	42	25
NC101_01465	69	26
NC101_01466	15	4
NC101_01467	11	7
NC101_01468	122	31
NC101_01469	67	17
NC101_01470	38	16
NC101_01471	23	9
NC101_01472	17	9
NC101_01473	387	106
NC101_01474	142	17
NC101_01475	142	23
NC101_01476	97	41
NC101_01477	79	21
NC101_01478	52	25
NC101_01479	18	6
NC101_01480	6	8
NC101_01481	32	7
NC101_01482	56	24
NC101_01483	166	61
NC101_01484	48	4
NC101_01485	43	6
NC101_01486	24	5
NC101_01487	61	17
NC101_01488	121	35
NC101_01489	290	50
NC101_01490	37	14
NC101_01491	10	2
NC101_01492	105	22
NC101_01493	7	15
NC101_01494	57	26
NC101_01495	8	3
NC101_01496	46	11
NC101_01497	67	21
NC101_01498	26	6
NC101_01499	89	39
NC101_01500	23	7
NC101_01501	48	23
NC101_01502	119	45
NC101_01503	34	10
NC101_01504	17	0
NC101_01505	54	21
NC101_01506	36	13
NC101_01507	11	1
NC101_01508	75	30
NC101_01509	4	7
NC101_01510	16	11
NC101_01511	141	53
NC101_01512	4	0
NC101_01513	3	0
NC101_01514	5	0
NC101_01515	1	2
NC101_01516	0	0
NC101_01517	5	5
NC101_01518	3	0
NC101_01519	16	8
NC101_01520	4	1
NC101_01521	27	0
NC101_01522	47	19
NC101_01523	27	10
NC101_01524	23	6
NC101_01525	819	120
NC101_01526	342	62
NC101_01527	338	44
NC101_01528	2576	569
NC101_01529	468	82
NC101_01530	58	17
NC101_01531	10	0
NC101_01532	8	2
NC101_01533	0	0
NC101_01534	7	4
NC101_01535	1	0
NC101_01536	17	7
NC101_01537	152	67
NC101_01538	119	15
NC101_01540	24	18
NC101_01541	10	2
NC101_01542	2	0
NC101_01543	5	2
NC101_01544	2	0
NC101_01545	4	0
NC101_01546	0	0
NC101_01547	2	0
NC101_01548	0	0
NC101_01549	0	3
NC101_01550	9	0
NC101_01551	90	40
NC101_01552	17	11
NC101_01553	14	1
NC101_01554	5	4
NC101_01555	8	4
NC101_01556	10	2
NC101_01557	5	13
NC101_01558	1	0
NC101_01559	7	7
NC101_01560	69	41
NC101_01561	5	2
NC101_01562	6	4
NC101_01563	34	2
NC101_01564	3	0
NC101_01565	4	4
NC101_01566	13	13
NC101_01567	0	2
NC101_01568	11	1
NC101_01569	4	6
NC101_01570	25	9
NC101_01571	43	7
NC101_01572	40	14
NC101_01573	14	4
NC101_01574	6	12
NC101_01575	457	98
NC101_01576	17	2
NC101_01577	318	97
NC101_01578	3	1
NC101_01579	0	0
NC101_01580	1	2
NC101_01581	14	0
NC101_01582	1	0
NC101_01583	33	7
NC101_01584	27	12
NC101_01585	21	4
NC101_01586	77	11
NC101_01587	5	5
NC101_01588	52	32
NC101_01589	0	0
NC101_01590	4	4
NC101_01591	19	5
NC101_01592	15	2
NC101_01593	4	3
NC101_01594	16	6
NC101_01595	79	29
NC101_01596	3	7
NC101_01597	68	16
NC101_01598	99	22
NC101_01599	40	21
NC101_01600	5	5
NC101_01601	7	0
NC101_01602	16	6
NC101_01603	32	3
NC101_01604	3	2
NC101_01605	0	1
NC101_01606	5	1
NC101_01607	4	0
NC101_01608	1	0
NC101_01609	4	0
NC101_01610	9	0
NC101_01611	0	0
NC101_01612	0	0
NC101_01613	2	5
NC101_01614	2	0
NC101_01615	19	20
NC101_01617	92	46
NC101_01618	79	29
NC101_01619	11	4
NC101_01620	104	18
NC101_01621	177	47
NC101_01622	41	10
NC101_01623	192	30
NC101_01624	10	1
NC101_01625	5	1
NC101_01626	0	3
NC101_01627	3	2
NC101_01628	22	26
NC101_01629	24	12
NC101_01630	9	2
NC101_01631	51	25
NC101_01632	10	10
NC101_01633	6	4
NC101_01634	12	11
NC101_01635	6	1
NC101_01636	1	0
NC101_01637	2	0
NC101_01638	0	0
NC101_01639	10	4
NC101_01640	0	0
NC101_01641	0	0
NC101_01642	25	11
NC101_01643	5	2
NC101_01644	7	3
NC101_01645	2	0
NC101_01646	16	2
NC101_01647	11	4
NC101_01648	0	0
NC101_01649	4	0
NC101_01650	0	0
NC101_01651	2	0
NC101_01652	1	0
NC101_01653	7	2
NC101_01654	0	0
NC101_01655	4	0
NC101_01656	0	2
NC101_01657	0	3
NC101_01658	2	0
NC101_01659	0	0
NC101_01660	5	1
NC101_01661	3	4
NC101_01662	0	0
NC101_01663	3	1
NC101_01664	0	0
NC101_01665	0	2
NC101_01666	2	0
NC101_01667	2	0
NC101_01668	6	0
NC101_01669	0	0
NC101_01670	0	0
NC101_01671	0	2
NC101_01672	5	2
NC101_01673	2	0
NC101_01674	5	0
NC101_01675	2	1
NC101_01676	4	2
NC101_01677	0	2
NC101_01678	6	2
NC101_01679	29	4
NC101_01680	14	0
NC101_01681	26	7
NC101_01682	21	9
NC101_01683	119	32
NC101_01684	671	258
NC101_01685	412	139
NC101_01686	48	4
NC101_01687	0	0
NC101_01688	3	0
NC101_01689	0	0
NC101_01690	4	0
NC101_01691	26	5
NC101_01692	2	2
NC101_01693	0	0
NC101_01694	4	2
NC101_01695	12	0
NC101_01696	6	4
NC101_01697	0	0
NC101_01698	28	7
NC101_01699	6	4
NC101_01700	0	0
NC101_01701	8	1
NC101_01702	41	11
NC101_01703	11	2
NC101_01704	3	0
NC101_01705	0	2
NC101_01706	4	0
NC101_01707	2	4
NC101_01708	5	0
NC101_01709	2	0
NC101_01710	1	2
NC101_01711	22	1
NC101_01712	7	0
NC101_01713	4	2
NC101_01714	3	3
NC101_01716	60	22
NC101_01717	4	2
NC101_01718	31	7
NC101_01719	19	6
NC101_01720	64	27
NC101_01721	130	30
NC101_01722	384	122
NC101_01723	127	70
NC101_01724	20	2
NC101_01725	10926	659
NC101_01726	34	11
NC101_01727	93	11
NC101_01728	427	110
NC101_01729	109	26
NC101_01730	66	16
NC101_01731	36	3
NC101_01732	53	13
NC101_01733	31	18
NC101_01734	24	3
NC101_01735	11	2
NC101_01736	459	139
NC101_01737	302	105
NC101_01738	227	61
NC101_01739	218	66
NC101_01740	305	77
NC101_01741	33	6
NC101_01742	26	15
NC101_01743	766	130
NC101_01744	76	17
NC101_01745	146	60
NC101_01746	514	106
NC101_01747	26	14
NC101_01748	54	14
NC101_01749	79	14
NC101_01750	4	2
NC101_01751	4	4
NC101_01752	8	8
NC101_01753	8	7
NC101_01754	2	1
NC101_01755	22	7
NC101_01756	159	46
NC101_01757	50	9
NC101_01758	0	0
NC101_01759	12	6
NC101_01760	5	0
NC101_01761	68	31
NC101_01762	235	112
NC101_01763	57	8
NC101_01764	42	10
NC101_01765	4	3
NC101_01766	0	0
NC101_01767	15	0
NC101_01768	9	4
NC101_01769	74	15
NC101_01770	29	3
NC101_01771	80	6
NC101_01772	9	17
NC101_01773	48	5
NC101_01774	8	1
NC101_01775	96	35
NC101_01776	15	14
NC101_01777	33	5
NC101_01778	4	5
NC101_01779	37	6
NC101_01780	210	55
NC101_01781	478	218
NC101_01782	32	10
NC101_01783	8	6
NC101_01787	676	236
NC101_01788	427	101
NC101_01789	21	7
NC101_01790	292	75
NC101_01791	30	10
NC101_01792	7	4
NC101_01793	12	0
NC101_01794	12	0
NC101_01795	0	2
NC101_01796	31	3
NC101_01797	3	6
NC101_01798	76	13
NC101_01799	48	4
NC101_01800	42	2
NC101_01801	13	0
NC101_01802	4	1
NC101_01803	187	18
NC101_01804	9	3
NC101_01805	57	7
NC101_01806	81	21
NC101_01807	34	20
NC101_01808	44	11
NC101_01809	6	0
NC101_01810	15	0
NC101_01811	4	0
NC101_01812	10	2
NC101_01813	9	2
NC101_01814	23	0
NC101_01815	7	0
NC101_01816	9	2
NC101_01817	102	14
NC101_01818	253	60
NC101_01819	22	8
NC101_01820	86	13
NC101_01821	164	41
NC101_01822	45	26
NC101_01823	240	86
NC101_01824	20	7
NC101_01825	39	22
NC101_01826	4	2
NC101_01827	171	53
NC101_01828	25	14
NC101_01829	34	19
NC101_01830	22	10
NC101_01831	22	8
NC101_01832	6	2
NC101_01833	0	2
NC101_01834	34	1
NC101_01835	742	283
NC101_01836	570	287
NC101_01837	41	11
NC101_01838	25	21
NC101_01839	64	22
NC101_01840	6	7
NC101_01841	25	4
NC101_01842	42	17
NC101_01843	28	12
NC101_01844	4	3
NC101_01845	5	3
NC101_01846	1	0
NC101_01847	38	16
NC101_01848	812	304
NC101_01849	35	2
NC101_01850	4	0
NC101_01851	13	2
NC101_01852	10	2
NC101_01853	33	12
NC101_01854	1	4
NC101_01855	0	0
NC101_01856	1	6
NC101_01857	7	1
NC101_01858	7	1
NC101_01859	4	0
NC101_01860	0	1
NC101_01861	0	1
NC101_01862	0	4
NC101_01863	19	2
NC101_01864	12	0
NC101_01865	235	20
NC101_01866	94	24
NC101_01867	165	26
NC101_01868	31	12
NC101_01869	42	30
NC101_01870	0	0
NC101_01871	2	0
NC101_01872	931	221
NC101_01873	402	116
NC101_01874	153	45
NC101_01875	19	4
NC101_01876	20	6
NC101_01877	195	54
NC101_01878	83	33
NC101_01879	70	16
NC101_01880	111	13
NC101_01881	45	11
NC101_01882	35	2
NC101_01883	0	2
NC101_01884	5	1
NC101_01885	12	3
NC101_01886	33	6
NC101_01887	30	6
NC101_01888	487	112
NC101_01889	228	78
NC101_01890	33	16
NC101_01891	49	11
NC101_01892	1021	84
NC101_01893	178	28
NC101_01894	58	28
NC101_01895	433	32
NC101_01896	222	23
NC101_01897	259	18
NC101_01898	85	21
NC101_01899	46	17
NC101_01900	8	4
NC101_01901	87	31
NC101_01902	179	72
NC101_01903	74	26
NC101_01904	49	11
NC101_01905	34	1
NC101_01906	95	38
NC101_01907	0	0
NC101_01908	4	0
NC101_01909	0	0
NC101_01910	1	0
NC101_01911	3	0
NC101_01912	6	2
NC101_01913	1	0
NC101_01914	4	3
NC101_01915	72	27
NC101_01916	17	3
NC101_01917	4	0
NC101_01918	0	0
NC101_01919	0	0
NC101_01920	10	2
NC101_01921	0	0
NC101_01922	4	4
NC101_01923	6	0
NC101_01924	13	6
NC101_01925	2	0
NC101_01926	1	0
NC101_01927	7	5
NC101_01928	6	0
NC101_01929	0	0
NC101_01930	0	3
NC101_01931	0	2
NC101_01932	0	0
NC101_01933	10	9
NC101_01934	27	19
NC101_01935	34	13
NC101_01936	49	11
NC101_01937	55	25
NC101_01938	76	30
NC101_01939	5	0
NC101_01940	4	0
NC101_01941	7	2
NC101_01942	9	0
NC101_01943	18	9
NC101_01944	83	14
NC101_01945	69	13
NC101_01946	135	20
NC101_01947	0	0
NC101_01948	14	2
NC101_01949	37	9
NC101_01950	353	65
NC101_01951	98	25
NC101_01952	85	25
NC101_01953	68	10
NC101_01954	62	17
NC101_01955	20	7
NC101_01956	14	2
NC101_01957	29	2
NC101_01958	47	18
NC101_01959	22	5
NC101_01960	49	23
NC101_01961	32	8
NC101_01962	70	19
NC101_01963	26	5
NC101_01964	19	10
NC101_01965	7	2
NC101_01966	8	2
NC101_01967	0	2
NC101_01968	12	0
NC101_01969	2	2
NC101_01970	0	0
NC101_01971	0	0
NC101_01972	2	2
NC101_01973	0	0
NC101_01974	0	0
NC101_01975	0	0
NC101_01976	0	0
NC101_01977	0	0
NC101_01978	0	0
NC101_01979	30	10
NC101_01980	114	52
NC101_01982	21	16
NC101_01983	1197	311
NC101_01984	311	66
NC101_01985	292	53
NC101_01986	647	101
NC101_01987	1752	309
NC101_01988	897	163
NC101_01989	2343	268
NC101_01990	336	59
NC101_01991	360	81
NC101_01992	3640	647
NC101_01993	697	136
NC101_01994	37	2
NC101_01995	2634	361
NC101_01996	1580	175
NC101_01997	916	113
NC101_01998	3979	512
NC101_01999	312	46
NC101_02000	428	70
NC101_02001	471	73
NC101_02002	153	34
NC101_02003	1282	222
NC101_02004	1248	185
NC101_02005	48	3
NC101_02006	126	42
NC101_02007	132	26
NC101_02008	36	10
NC101_02009	32	23
NC101_02010	77	20
NC101_02011	156	45
NC101_02012	79	20
NC101_02013	36	11
NC101_02014	126	29
NC101_02015	322	59
NC101_02016	29	4
NC101_02017	80	14
NC101_02018	247	54
NC101_02019	1203	142
NC101_02020	695	43
NC101_02021	834	113
NC101_02022	39	17
NC101_02023	48	20
NC101_02024	168	28
NC101_02025	91	24
NC101_02026	487	158
NC101_02027	34	24
NC101_02028	214	50
NC101_02029	156	36
NC101_02030	11	1
NC101_02031	176	21
NC101_02032	16	3
NC101_02033	10	7
NC101_02034	271	71
NC101_02035	148	39
NC101_02036	238	62
NC101_02037	454	89
NC101_02038	406	98
NC101_02039	232	55
NC101_02040	2	0
NC101_02041	3	0
NC101_02042	11	6
NC101_02043	3	2
NC101_02044	22	2
NC101_02045	11	5
NC101_02046	25	11
NC101_02047	0	0
NC101_02048	3	2
NC101_02049	0	0
NC101_02050	0	0
NC101_02051	18	12
NC101_02052	321	72
NC101_02053	96	22
NC101_02054	26	6
NC101_02055	5	2
NC101_02056	162	87
NC101_02057	0	3
NC101_02058	56	21
NC101_02059	62	56
NC101_02060	2	0
NC101_02061	10	6
NC101_02062	50	11
NC101_02063	95	27
NC101_02064	26	18
NC101_02065	7	8
NC101_02066	3	1
NC101_02067	20	9
NC101_02068	10	7
NC101_02069	4	0
NC101_02070	7	5
NC101_02071	10	2
NC101_02072	8	15
NC101_02073	5225	1030
NC101_02074	70	37
NC101_02075	83	16
NC101_02076	84	24
NC101_02077	28	5
NC101_02078	86	11
NC101_02079	22	1
NC101_02080	664	72
NC101_02081	21	4
NC101_02082	117	63
NC101_02084	19	12
NC101_02085	3	0
NC101_02086	23	8
NC101_02087	16	11
NC101_02088	35	22
NC101_02089	8	1
NC101_02090	11	6
NC101_02091	1	2
NC101_02092	0	5
NC101_02093	4	4
NC101_02094	362	45
NC101_02095	27	9
NC101_02096	32	6
NC101_02097	25	13
NC101_02098	21	7
NC101_02099	10	12
NC101_02100	0	2
NC101_02101	7	3
NC101_02102	44	17
NC101_02103	14	11
NC101_02104	2	2
NC101_02105	0	0
NC101_02106	2	0
NC101_02107	7	7
NC101_02108	18	0
NC101_02109	4	0
NC101_02110	28	8
NC101_02111	18	1
NC101_02112	8	7
NC101_02113	4	2
NC101_02114	0	0
NC101_02115	31	29
NC101_02116	50	13
NC101_02117	11	8
NC101_02118	30	17
NC101_02119	24	5
NC101_02120	0	1
NC101_02121	16	2
NC101_02122	1	37
NC101_02123	4	5
NC101_02124	41	47
NC101_02125	20	8
NC101_02126	7	6
NC101_02127	27	10
NC101_02128	351	133
NC101_02129	38	28
NC101_02130	368	76
NC101_02131	89	24
NC101_02132	30	13
NC101_02133	52	9
NC101_02134	11	4
NC101_02135	21	6
NC101_02136	10	11
NC101_02137	108	47
NC101_02138	9	4
NC101_02139	12	0
NC101_02140	0	2
NC101_02141	0	0
NC101_02142	36	11
NC101_02143	6	0
NC101_02144	0	0
NC101_02145	8	4
NC101_02146	6	2
NC101_02147	31	4
NC101_02148	35	16
NC101_02149	72	10
NC101_02150	53	11
NC101_02151	185	31
NC101_02152	8	8
NC101_02153	138	24
NC101_02154	61	8
NC101_02155	42	38
NC101_02156	23	5
NC101_02157	5	0
NC101_02158	10	2
NC101_02159	1	2
NC101_02160	1	0
NC101_02161	2	4
NC101_02162	8	5
NC101_02163	4	2
NC101_02164	0	0
NC101_02165	30	11
NC101_02166	0	0
NC101_02167	135	15
NC101_02168	26	15
NC101_02169	30	11
NC101_02170	16	0
NC101_02171	0	0
NC101_02172	2	0
NC101_02173	0	0
NC101_02174	3	4
NC101_02175	4	4
NC101_02176	4	0
NC101_02177	11	4
NC101_02178	19	0
NC101_02179	23	4
NC101_02180	21	0
NC101_02181	16	3
NC101_02182	16	2
NC101_02183	23	6
NC101_02184	21	0
NC101_02185	45	6
NC101_02186	39	10
NC101_02187	55	4
NC101_02188	69	3
NC101_02189	28	0
NC101_02190	49	1
NC101_02191	21	1
NC101_02192	11	1
NC101_02193	8	0
NC101_02194	0	0
NC101_02195	0	0
NC101_02196	1	0
NC101_02197	0	0
NC101_02198	3	0
NC101_02199	0	0
NC101_02200	1	0
NC101_02201	4	2
NC101_02202	8	3
NC101_02203	2	0
NC101_02204	0	0
NC101_02205	8	2
NC101_02206	64	12
NC101_02207	4	4
NC101_02208	74	13
NC101_02209	2	0
NC101_02210	23	15
NC101_02211	0	0
NC101_02212	1	0
NC101_02213	9	9
NC101_02214	5	1
NC101_02215	3	2
NC101_02216	7	0
NC101_02217	0	0
NC101_02218	21	9
NC101_02219	14	12
NC101_02220	17	4
NC101_02221	6	0
NC101_02222	3	0
NC101_02223	2	0
NC101_02224	0	3
NC101_02225	0	0
NC101_02226	6	2
NC101_02227	14	4
NC101_02228	516	81
NC101_02229	88	24
NC101_02230	15	7
NC101_02231	17	6
NC101_02232	32	2
NC101_02233	60	13
NC101_02234	187	57
NC101_02235	115	42
NC101_02236	123	31
NC101_02237	215	79
NC101_02238	0	3
NC101_02239	1	2
NC101_02240	154	28
NC101_02241	85	26
NC101_02242	39	11
NC101_02243	52	16
NC101_02244	94	33
NC101_02245	33	8
NC101_02246	101	59
NC101_02247	65	17
NC101_02248	1006	164
NC101_02249	260	42
NC101_02250	11	6
NC101_02251	3	10
NC101_02252	45	16
NC101_02253	46	17
NC101_02254	6	7
NC101_02255	0	0
NC101_02256	3	4
NC101_02257	3	0
NC101_02258	0	0
NC101_02259	7	3
NC101_02260	0	0
NC101_02261	42	13
NC101_02262	48	23
NC101_02263	81	29
NC101_02264	32	19
NC101_02265	27	3
NC101_02266	16	0
NC101_02267	19	3
NC101_02268	1	0
NC101_02269	0	0
NC101_02270	2	0
NC101_02271	88	10
NC101_02272	230	66
NC101_02273	15	3
NC101_02274	6	14
NC101_02275	5	1
NC101_02276	4	0
NC101_02277	14	0
NC101_02278	104	34
NC101_02279	44	21
NC101_02280	18	9
NC101_02281	102	29
NC101_02282	65	16
NC101_02283	44	6
NC101_02284	203	66
NC101_02285	56	16
NC101_02286	61	12
NC101_02287	6	0
NC101_02288	3	2
NC101_02289	24	12
NC101_02290	37	10
NC101_02291	73	17
NC101_02292	152	27
NC101_02293	2	1
NC101_02294	19	10
NC101_02295	29	3
NC101_02296	6	7
NC101_02297	354	148
NC101_02298	1376	558
NC101_02299	29	12
NC101_02300	12	13
NC101_02301	68	22
NC101_02302	150	34
NC101_02303	117	22
NC101_02304	30	12
NC101_02305	52	14
NC101_02306	24	10
NC101_02307	29	15
NC101_02308	10	0
NC101_02309	36	4
NC101_02310	56	0
NC101_02311	32	0
NC101_02312	30	0
NC101_02313	46	11
NC101_02314	404	163
NC101_02315	492	193
NC101_02316	1011	519
NC101_02317	98	45
NC101_02319	29	5
NC101_02320	51	21
NC101_02321	27	5
NC101_02322	133	97
NC101_02323	159	25
NC101_02324	86	19
NC101_02325	64	7
NC101_02326	5	0
NC101_02327	17	12
NC101_02328	7	1
NC101_02329	12	4
NC101_02330	128	18
NC101_02331	50	8
NC101_02332	8	4
NC101_02333	26	7
NC101_02334	16	7
NC101_02335	363	91
NC101_02336	24	5
NC101_02337	81	37
NC101_02338	12	7
NC101_02339	1126	212
NC101_02340	1082	212
NC101_02341	2041	678
NC101_02342	258	106
NC101_02343	90	28
NC101_02344	34	23
NC101_02345	512	178
NC101_02346	175	49
NC101_02347	188	37
NC101_02348	123	15
NC101_02349	8	5
NC101_02350	30	0
NC101_02351	260	51
NC101_02352	25	5
NC101_02353	7	9
NC101_02354	40	11
NC101_02355	227	77
NC101_02356	212	93
NC101_02357	373	28
NC101_02358	235	10
NC101_02359	305	45
NC101_02360	176	23
NC101_02361	408	49
NC101_02362	439	56
NC101_02363	308	36
NC101_02364	78	2
NC101_02365	56	8
NC101_02366	24	2
NC101_02367	38	2
NC101_02368	153	22
NC101_02369	66	16
NC101_02370	108	33
NC101_02371	150	22
NC101_02372	12	14
NC101_02373	12	2
NC101_02374	23	2
NC101_02375	18	11
NC101_02376	22	1
NC101_02377	74	18
NC101_02378	16	9
NC101_02379	4	9
NC101_02380	0	0
NC101_02381	0	0
NC101_02382	9	0
NC101_02383	4	3
NC101_02384	38	12
NC101_02385	88	34
NC101_02386	6	5
NC101_02387	43	18
NC101_02388	32	3
NC101_02389	20	7
NC101_02390	27	19
NC101_02391	25	19
NC101_02392	5	2
NC101_02393	30	5
NC101_02394	402	94
NC101_02395	759	164
NC101_02396	77	21
NC101_02397	31	16
NC101_02398	40	7
NC101_02399	86	19
NC101_02400	117	73
NC101_02401	678	350
NC101_02402	708	202
NC101_02403	717	173
NC101_02404	60	4
NC101_02405	24	4
NC101_02406	410	156
NC101_02407	205	73
NC101_02408	59	36
NC101_02410	69	21
NC101_02411	56	6
NC101_02413	198	76
NC101_02414	164	38
NC101_02415	16	1
NC101_02416	1106	397
NC101_02417	221	62
NC101_02418	153	59
NC101_02419	42	13
NC101_02420	29	12
NC101_02421	121	46
NC101_02422	24	17
NC101_02423	581	217
NC101_02424	87	10
NC101_02425	4	2
NC101_02426	51	13
NC101_02427	15	6
NC101_02428	30	0
NC101_02429	129	20
NC101_02430	53	13
NC101_02431	34	12
NC101_02432	64	12
NC101_02433	47	17
NC101_02434	227	77
NC101_02435	49	13
NC101_02436	57	21
NC101_02437	60	17
NC101_02438	53	5
NC101_02439	321	69
NC101_02440	530	112
NC101_02441	31	5
NC101_02442	36	14
NC101_02443	20	7
NC101_02444	165	47
NC101_02445	16	17
NC101_02446	117	23
NC101_02447	259	43
NC101_02448	42	5
NC101_02449	46	16
NC101_02450	34	4
NC101_02451	86	42
NC101_02452	28	24
NC101_02453	26	31
NC101_02454	154	84
NC101_02455	47	128
NC101_02456	44	14
NC101_02457	89	21
NC101_02458	165	62
NC101_02459	239	48
NC101_02460	332	127
NC101_02461	76	35
NC101_02462	301	86
NC101_02463	130	31
NC101_02464	97	34
NC101_02465	703	91
NC101_02466	240	48
NC101_02467	1086	410
NC101_02468	102	33
NC101_02469	42	8
NC101_02470	4	2
NC101_02471	18	8
NC101_02472	56	20
NC101_02473	139	46
NC101_02474	55	30
NC101_02475	66	19
NC101_02476	23	6
NC101_02477	13	6
NC101_02478	23	4
NC101_02479	77	34
NC101_02480	105	38
NC101_02481	78	22
NC101_02482	18	5
NC101_02483	135	25
NC101_02484	401	62
NC101_02485	15	2
NC101_02486	2	0
NC101_02487	0	0
NC101_02488	0	2
NC101_02489	6	3
NC101_02490	2	2
NC101_02491	27	8
NC101_02492	89	20
NC101_02493	1	0
NC101_02494	13	2
NC101_02495	11	16
NC101_02496	71	35
NC101_02497	56	11
NC101_02498	14	6
NC101_02499	0	0
NC101_02500	2	2
NC101_02501	15	1
NC101_02502	31	15
NC101_02503	0	0
NC101_02504	32	11
NC101_02505	35	10
NC101_02506	7	3
NC101_02507	4	0
NC101_02508	28	6
NC101_02509	3	0
NC101_02510	12	4
NC101_02511	12	5
NC101_02512	6	7
NC101_02513	8	6
NC101_02514	13	5
NC101_02515	70	22
NC101_02516	4	0
NC101_02517	146	34
NC101_02518	175	21
NC101_02519	14	11
NC101_02520	288	105
NC101_02521	59	8
NC101_02522	66	4
NC101_02523	3645	1325
NC101_02524	107	15
NC101_02525	53	19
NC101_02526	144	17
NC101_02527	2	6
NC101_02528	54	14
NC101_02529	505	155
NC101_02530	979	387
NC101_02531	91	43
NC101_02532	4	11
NC101_02533	67	32
NC101_02534	28	8
NC101_02535	45	26
NC101_02536	32	25
NC101_02537	12	2
NC101_02538	33	3
NC101_02539	46	7
NC101_02540	7	6
NC101_02541	24	5
NC101_02542	48	12
NC101_02543	12	9
NC101_02544	19	15
NC101_02545	162	48
NC101_02546	40	20
NC101_02547	11	15
NC101_02548	13	10
NC101_02549	81	11
NC101_02550	44	4
NC101_02551	299	73
NC101_02552	74	21
NC101_02553	44	3
NC101_02554	10	0
NC101_02555	20	2
NC101_02556	5	0
NC101_02557	2	3
NC101_02558	11	6
NC101_02559	37	0
NC101_02560	10	0
NC101_02561	53	24
NC101_02562	0	0
