phylum	class	order	family	genus
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Formosa
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium XlVa
Nanohaloarchaeota	Nanohaloarchaea			Candidatus Haloredivivus
Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Plesiomonas
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Bulleidia
Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hellea
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Singulisphaera
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Xylanibacter
Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiaceae	Alkaliflexus
Firmicutes	Clostridia	Clostridiales	Peptococcaceae 1	Dehalobacter
Proteobacteria	Gammaproteobacteria			Candidatus Carsonella
Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfoconvexum
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Zunongwangia
Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Anaerospora
Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatirhabdium
Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Thorsellia
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Soonwooa
Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Catellicoccus
Proteobacteria	Epsilonproteobacteria	Nautiliales	Nautiliaceae	Thioreductor
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Gaetbulimicrobium
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Coenonia
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Acetanaerobacterium
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium XlVb
Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila
