phylum	class	order	family	genus
Cyanobacteria/Chloroplast	Chloroplast		Chloroplast	Streptophyta
Firmicutes	Clostridia	Clostridiales	Peptococcaceae 1	Peptococcus
Firmicutes	Bacilli	Bacillales	Bacillaceae 2	Tuberibacillus
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Globicatella
Firmicutes	Clostridia	Clostridiales	Incertae Sedis XI	Anaerosphaera
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella
Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Coraliomargarita
Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Mangroviflexus
Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dendrosporobacter
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium IV
Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Litorilinea
Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Jhaorihella
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavivirga
Firmicutes	Bacilli	Bacillales	Bacillaceae 2	Saliterribacillus
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia
Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfospira
Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Malonomonas
Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Phocoenobacter
Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira
Firmicutes	Clostridia	Clostridiales	Gracilibacteraceae	Lutispora
Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus
Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Ferroglobus
Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caloribacterium
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Fastidiosipila
Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Shimwellia
Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Clostridium XIX
Firmicutes	Clostridia	Clostridiales	Clostridiaceae 4	Geosporobacter
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Butyrivibrio
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Kriegella
Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Leclercia
Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Archangium
Firmicutes	Clostridia	Clostridiales	Peptococcaceae 1	Desulfitibacter
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Cyclobacteriaceae	Aquiflexum
Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella
Synergistetes	Synergistia	Synergistales	Synergistaceae	Jonquetella
Bacteroidetes	Cytophagia	Cytophagales	Mooreiaceae	Mooreia
Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Diplorickettsia
Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Aquincola
Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XII	Guggenheimella
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Parasegetibacter
Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Anaerofustis
Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Anaerosinus
Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Salinibacterium
Proteobacteria	Deltaproteobacteria	Myxococcales	Phaselicystidaceae	Phaselicystis
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Meridianimaribacter
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Saccharofermentans
Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Tannerella
Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Rahnella
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Nubsella
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter
Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Phaeovibrio
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Cyclobacteriaceae	Mongoliitalea
Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Barnesiella
Firmicutes	Bacilli	Bacillales	Bacillaceae 2	Natribacillus
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Lacibacter
Chloroflexi	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides
Candidatus Saccharibacteria				Saccharibacteria_genera_incertae_sedis
Proteobacteria	Alphaproteobacteria			Eilatimonas
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	Haliscomenobacter
Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Mitsuokella
Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Anaerobacter
Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Meniscus
Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Aureibacter
Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia
Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Leminorella
Firmicutes	Clostridia	Clostridiales	Peptococcaceae I	Desulfitispora
Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Thermobrachium
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Parasporobacterium
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Jejuia
Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatiferula
Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Plesiocystis
Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Perexilibacter
Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yokenella
Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Anaerorhabdus
Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XIII	Mogibacterium
Proteobacteria	Deltaproteobacteria	Myxococcales	Nannocystaceae	Enhygromyxa
Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Dolosigranulum
Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Rhodopirellula
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Sharpea
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium
Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pontibaca
Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sandaracinobacter
Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus
Proteobacteria	Betaproteobacteria	Procabacteriales	Procabacteriaceae	Candidatus Procabacter
Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Mucispirillum
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Eudoraea
Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Paludibacter
Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Schwartzia
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Ornithobacterium
Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XI	Parvimonas
Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Stigmatella
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium III
Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Aquificae	Aquificae	Aquificales	Aquificaceae	Hydrogenobaculum
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiracea_incertae_sedis
Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megamonas
Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Simonsiella
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus2
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Cellulosibacter
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Marixanthomonas
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Empedobacter
Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Rothia
Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenella
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
Firmicutes	Clostridia	Clostridiales	Peptococcaceae 2	Desulfurispora
Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiolamprovum
Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Garciella
Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Sporacetigenium
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Howardella
Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter
Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Roseimicrobium
Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Desemzia
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aureitalea
Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XIII	Anaerovorax
Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella
Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Anaeroarcus
Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XII	Acidaminobacter
Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Cyclobacteriaceae	Nitritalea
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger
Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Tistrella
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Cellulosilyticum
Bacteroidetes	Bacteroidetes_incertae_sedis			Marinifilum
Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactovum
Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Alkalibacter
Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus
Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Nautella
Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Sulfuritalea
Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Smithella
Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ponticoccus
Proteobacteria	Betaproteobacteria			Chitinivorax
Acetothermia				Acetothermia_genera_incertae_sedis
Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia/Shigella
Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Syntrophaceticus
Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Oxobacter
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Eremococcus
Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Sporobacter
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Allobaculum
Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum
Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Gordonibacter
Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Ignavigranum
Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pelagicola
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira
Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus
Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiaceae	Anaerophaga
Firmicutes	Clostridia	Clostridiales	Incertae Sedis III	Caldanaerovirga
Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Alloscardovia
Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Psychrosinus
Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Acetitomaculum
Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XI	Anaerosalibacter
Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cruoricaptor
